roll_no,grade,name,points,school,section,friends,updated_at
222,10,Nakia Hane,94,School 3,Section Section 1,"189, 247, 369, 557, 560, 600, 953",2023-07-20 15:28:41.124180+00:00
223,12,Rae Mills,40,School 3,Section Section 2,"174, 399, 436, 498, 689, 763, 918, 992",2023-07-15 16:57:08.125772+00:00
224,11,Jose Nolan,92,School 3,Section Section 1,"422, 457, 991, 996",2023-06-26 19:14:03.127292+00:00
225,10,Mavis Jast,29,School 3,Section Section 2,"31, 311, 686, 759",2023-07-24 22:07:36.129003+00:00
226,10,Felipa Von,68,School 3,Section Section 2,"128, 137, 325, 607, 629, 715, 819, 850",2023-07-10 18:55:50.130531+00:00
227,11,Fleta Batz,50,School 3,Section Section 4,"233, 260, 612, 643, 679, 854",2023-06-29 16:56:31.132214+00:00
228,11,Mavis Jast,87,School 3,Section Section 1,"62, 343, 647",2023-06-26 14:23:50.133749+00:00
229,10,Neva Batz,81,School 3,Section Section 4,"40, 131, 322, 368, 736, 797, 836",2023-05-30 12:01:58.135155+00:00
230,11,Pat Hirthe,78,School 3,Section Section 3,"44, 351, 597, 977",2023-06-21 08:13:57.136653+00:00
231,10,Velva Lind,100,School 3,Section Section 3,"45, 163, 176, 399, 518, 530, 535, 687, 735, 965",2023-05-28 22:13:01.138108+00:00
232,12,Mina Feil,44,School 3,Section Section 4,"337, 354, 683, 891",2023-06-02 00:46:18.139666+00:00
233,9,Kale Moen,38,School 3,Section Section 1,"114, 158, 160, 227, 267, 282, 413, 803, 874, 997",2023-06-14 20:40:12.141066+00:00
234,11,Clay Cole,84,School 3,Section Section 1,"253, 565, 731, 801",2023-07-22 00:00:38.142622+00:00
235,12,Bell Walsh,31,School 3,Section Section 1,"71, 89, 138, 471, 519, 690, 826, 946",2023-06-14 09:39:56.144374+00:00
236,11,Alene Hane,63,School 3,Section Section 1,"36, 58, 454, 529, 869",2023-07-25 23:17:09.145987+00:00
237,12,Tina Smith,86,School 3,Section Section 1,"555, 820, 933",2023-06-03 14:39:13.147606+00:00
238,10,Lola Purdy,71,School 3,Section Section 2,"134, 209, 288, 597, 630, 737, 824, 895",2023-07-11 04:48:46.149171+00:00
239,10,Dovie Jast,64,School 3,Section Section 4,"333, 576, 792",2023-05-31 17:39:13.150676+00:00
240,12,Retha Toy,15,School 3,Section Section 4,"309, 415, 511, 521, 739, 804, 919",2023-06-02 13:42:35.152169+00:00
241,9,Russ Lang,15,School 3,Section Section 1,"60, 131, 294, 354, 555, 644, 665",2023-07-22 18:40:07.153634+00:00
242,12,Lura Ortiz,5,School 3,Section Section 2,"300, 365, 861",2023-06-14 12:06:43.155168+00:00
243,10,Ted Rogahn,89,School 3,Section Section 3,"178, 344, 366, 588, 606, 640, 780, 943",2023-06-27 12:40:04.156816+00:00
244,12,Arvid Bode,74,School 3,Section Section 1,"477, 782, 929",2023-07-19 21:06:29.158193+00:00
245,9,Adan Rohan,33,School 3,Section Section 3,"24, 111, 480, 620, 823, 834, 949",2023-06-09 21:01:11.159610+00:00
246,11,Wendy Mohr,71,School 3,Section Section 1,"420, 482, 509, 585, 828",2023-06-09 16:40:27.161077+00:00
247,10,Avery Batz,55,School 3,Section Section 2,"20, 212, 222, 257, 321, 335, 382, 638",2023-07-14 14:22:48.162487+00:00
248,11,Arvid Bode,70,School 3,Section Section 2,"18, 169, 282, 430, 584, 667, 673, 684",2023-07-09 06:56:18.163897+00:00
249,10,Russ Lang,86,School 3,Section Section 1,"106, 172, 386, 396, 601",2023-06-13 05:46:26.165332+00:00
250,10,Zane Runte,11,School 3,Section Section 4,"96, 153, 678, 741, 912",2023-07-15 12:01:45.166746+00:00
251,9,Russ Lang,95,School 3,Section Section 3,"20, 258, 379, 548",2023-07-14 17:31:39.168145+00:00
252,12,Mya Rath,95,School 3,Section Section 2,"279, 296, 311, 333, 347, 454",2023-06-24 02:53:34.169510+00:00
253,10,Aylin Kihn,53,School 3,Section Section 4,"3, 15, 49, 58, 121, 234, 534, 535, 552, 569, 587, 786, 878, 963",2023-07-02 15:35:03.170979+00:00
254,11,Dee Hand,23,School 3,Section Section 1,"389, 482, 643, 662, 824",2023-06-17 09:17:10.172386+00:00
255,9,Arvid Bode,64,School 3,Section Section 3,"55, 208, 571, 573, 618, 655, 837, 861, 915, 936, 984",2023-07-17 13:48:42.173768+00:00
256,12,Eva Hammes,90,School 3,Section Section 2,"1, 14, 133, 181, 262, 421, 678, 690, 736, 981",2023-06-11 08:14:14.175248+00:00
257,11,Adan Rohan,84,School 3,Section Section 2,"76, 85, 213, 247, 279, 282, 349, 480, 484, 562, 719, 938",2023-05-27 22:54:07.176681+00:00
258,12,Clay Cole,65,School 3,Section Section 1,"101, 251, 498, 525, 607, 612, 843, 891",2023-07-18 03:24:43.178107+00:00
259,12,Felipa Von,83,School 3,Section Section 3,"72, 618, 700",2023-05-31 04:33:11.179549+00:00
260,10,Felipa Von,24,School 3,Section Section 4,"144, 146, 227, 337, 364, 601, 621, 781",2023-06-26 12:40:37.181054+00:00
261,9,Nakia Hane,49,School 3,Section Section 1,"474, 530, 903",2023-07-24 19:16:07.182644+00:00
262,9,Devin Mann,42,School 3,Section Section 2,"212, 256, 286, 785",2023-07-24 15:44:48.184103+00:00
263,12,Angie Beer,77,School 3,Section Section 3,"207, 440, 543, 612",2023-07-17 12:16:16.185556+00:00
264,9,Dovie Jast,21,School 3,Section Section 1,"47, 163, 552, 681, 760, 931, 941",2023-07-14 12:19:47.186965+00:00
265,11,Vidal King,78,School 3,Section Section 4,"24, 31, 489, 594, 840",2023-06-19 15:12:32.188360+00:00
266,12,Kody Morar,23,School 3,Section Section 1,"106, 173, 288, 581",2023-05-30 23:33:12.189742+00:00
267,11,Pat Hirthe,43,School 3,Section Section 4,"9, 59, 113, 153, 233, 619, 808, 914",2023-07-11 18:33:27.191222+00:00
268,10,Fleta Batz,96,School 3,Section Section 2,"280, 412, 433, 525, 615, 706, 919, 961",2023-07-25 04:04:51.192617+00:00
269,10,Tom Lakin,76,School 3,Section Section 4,"62, 124, 178, 186, 343, 413, 649, 663",2023-06-15 12:15:17.193977+00:00
270,10,Ana Metz,22,School 3,Section Section 1,"51, 425, 442, 452, 540, 545, 587, 767",2023-05-29 15:32:10.195567+00:00
271,9,Rod Carter,71,School 3,Section Section 2,"20, 41, 77, 182",2023-06-01 01:10:51.196978+00:00
272,11,Tom Lakin,23,School 3,Section Section 2,"52, 114, 167, 444, 654, 765, 831, 997",2023-06-22 08:55:53.198549+00:00
273,10,Alene Hane,46,School 3,Section Section 1,"214, 448, 479, 599, 633",2023-05-30 20:40:09.199959+00:00
274,11,Dee Rau,93,School 3,Section Section 1,"59, 89, 123, 356, 467, 603, 652, 699, 724, 815, 817, 895",2023-06-08 05:47:50.201506+00:00
275,9,Tiana Ward,64,School 3,Section Section 3,"83, 161, 337, 418, 890",2023-07-23 03:58:14.203039+00:00
276,10,Luis Haley,52,School 3,Section Section 4,"61, 159, 207, 213, 484, 528, 618, 671, 700, 739",2023-06-03 02:50:42.204449+00:00
277,9,Elena Lind,85,School 3,Section Section 1,"139, 175, 401, 526, 660, 712, 764, 845",2023-06-11 18:34:44.205901+00:00
278,11,Nova Haag,41,School 3,Section Section 2,"23, 67, 443, 464, 514, 792",2023-06-13 12:49:30.207339+00:00
279,10,Dean Lang,46,School 3,Section Section 3,"55, 80, 113, 252, 257, 398, 497, 559, 911",2023-06-04 07:48:09.208742+00:00
280,11,Dee Rau,11,School 3,Section Section 2,"190, 268, 573, 747",2023-06-29 23:48:07.210194+00:00
281,10,Roel Jones,22,School 3,Section Section 4,"410, 793, 875, 929, 953",2023-06-01 11:33:00.211622+00:00
282,10,Jena Mraz,62,School 3,Section Section 4,"104, 120, 139, 221, 233, 248, 257, 296, 727, 737",2023-07-06 09:48:06.213003+00:00
283,11,Wendy Mohr,79,School 3,Section Section 4,"100, 329, 399, 438, 451, 513, 735, 793",2023-07-03 01:07:45.214376+00:00
284,11,Cora Mills,40,School 3,Section Section 1,"629, 736, 963, 977",2023-06-22 20:20:21.215885+00:00
285,10,Dee Rau,1,School 3,Section Section 3,"151, 180, 325, 327, 546, 757, 928",2023-07-12 09:02:29.217253+00:00
286,11,Mina Feil,38,School 3,Section Section 4,"196, 209, 262, 545, 587, 797, 807, 838, 907",2023-07-11 02:24:58.218614+00:00
287,9,Jose Nolan,63,School 3,Section Section 1,"382, 519, 689, 962",2023-06-24 15:38:05.220166+00:00
288,11,Mina Feil,34,School 3,Section Section 2,"44, 212, 238, 266, 308, 497, 523, 576, 694, 911, 914",2023-06-29 16:42:10.221546+00:00
289,9,Roel Jones,92,School 3,Section Section 2,"143, 186, 478, 573, 688, 987",2023-06-28 16:45:40.222928+00:00
290,9,Angie Beer,70,School 3,Section Section 1,"127, 199, 398, 532, 689",2023-07-09 13:56:23.224428+00:00
291,9,Wendy Mohr,43,School 3,Section Section 3,"404, 460, 546, 591, 666, 721, 846",2023-06-06 08:10:32.225833+00:00
292,10,Pat Hirthe,41,School 3,Section Section 4,"157, 334, 368, 638, 672, 690, 746, 756, 983, 985",2023-07-20 03:53:44.227317+00:00
293,9,Alene Hane,28,School 3,Section Section 3,"511, 524, 702",2023-05-31 18:31:13.228707+00:00
294,11,Fern Moen,97,School 3,Section Section 1,"241, 356, 465, 533, 657, 682, 816",2023-07-12 06:22:53.230272+00:00
295,11,Dovie Jast,11,School 3,Section Section 2,"93, 332, 366, 598, 664, 672, 693, 707, 924",2023-07-04 18:12:14.232091+00:00
296,12,Avery Batz,98,School 3,Section Section 2,"99, 252, 282, 345, 700",2023-06-22 00:17:01.236042+00:00
297,9,Adan Rohan,53,School 3,Section Section 3,"46, 109, 153, 609, 630, 714, 798, 985",2023-06-29 23:53:50.237657+00:00
298,10,Dovie Jast,16,School 3,Section Section 2,"35, 48, 342, 446, 453, 474, 965",2023-06-17 13:42:31.239225+00:00
299,9,Ana Metz,43,School 3,Section Section 2,"60, 522, 565, 666, 981, 991",2023-07-25 02:20:50.240771+00:00
300,10,Ottis Torp,100,School 3,Section Section 2,"35, 114, 242, 562, 676, 843",2023-06-30 18:31:17.242292+00:00
301,12,Avery Batz,41,School 4,Section Section 3,"43, 193, 704, 883, 963",2023-06-05 03:46:51.243790+00:00
302,12,Vada Koss,67,School 4,Section Section 3,"181, 568, 603, 609, 685, 727, 974, 979",2023-05-28 15:02:46.245320+00:00
303,10,Dee Rau,77,School 4,Section Section 3,"174, 201, 374, 657, 663, 730, 958",2023-07-23 08:59:15.247202+00:00
304,12,Dee Hand,21,School 4,Section Section 4,"76, 192, 382, 677",2023-07-09 20:37:54.248590+00:00
305,11,Cale Lang,1,School 4,Section Section 4,"87, 213, 530, 609, 635, 937, 958",2023-05-28 04:20:36.250003+00:00
306,12,Eva Lakin,48,School 4,Section Section 3,"539, 543, 578, 588, 654, 748, 783",2023-07-19 07:29:05.251459+00:00
307,11,Luis Haley,0,School 4,Section Section 3,"116, 320, 401, 431, 599, 672, 937",2023-07-24 09:26:51.252881+00:00
308,10,Buck Auer,80,School 4,Section Section 1,"221, 288, 355, 395, 608, 771, 995",2023-07-11 04:30:44.254400+00:00
309,11,Ayden Moen,56,School 4,Section Section 1,"119, 195, 240, 311, 480, 886, 978",2023-06-06 21:38:14.255931+00:00
310,11,Ottis Torp,96,School 4,Section Section 4,"63, 196, 654, 692, 707, 955",2023-07-12 14:35:38.257298+00:00
311,11,Dean Lang,58,School 4,Section Section 3,"121, 207, 225, 252, 309, 624, 890",2023-07-07 07:11:51.258733+00:00
312,10,Vada Koss,79,School 4,Section Section 1,"349, 439, 770, 772, 988",2023-06-10 08:24:16.260158+00:00
313,12,Mara Crona,57,School 4,Section Section 2,"677, 954, 962",2023-06-24 03:48:10.261564+00:00
314,10,Buck Auer,65,School 4,Section Section 2,"123, 213, 633, 759",2023-06-12 23:56:34.262974+00:00
315,9,Retha Toy,99,School 4,Section Section 2,"477, 512, 584, 608, 753, 827, 889",2023-06-26 01:35:50.264375+00:00
316,9,Tod Hintz,21,School 4,Section Section 3,"94, 356, 580, 596, 943",2023-07-25 22:28:55.265857+00:00
317,10,Vita Price,47,School 4,Section Section 1,"374, 597, 636, 707, 732, 822, 841, 956",2023-07-22 18:57:47.267241+00:00
318,10,Vince Fay,39,School 4,Section Section 4,"131, 332, 429, 660, 748",2023-07-15 06:13:36.268620+00:00
319,9,Gabe Stamm,46,School 4,Section Section 1,"49, 138, 332, 538, 552, 675, 798",2023-06-12 09:15:06.270045+00:00
320,10,Fleta Batz,95,School 4,Section Section 3,"12, 307, 469, 559",2023-07-17 02:21:02.271411+00:00
321,9,Ryley Beer,44,School 4,Section Section 4,"121, 247, 578, 824, 916, 970",2023-07-22 21:26:41.272764+00:00
322,11,Lura Ortiz,72,School 4,Section Section 1,"179, 229, 609, 668, 694, 777, 812, 962",2023-06-23 21:15:30.274180+00:00
323,10,Dean Lang,32,School 4,Section Section 2,"135, 340, 384, 538, 615, 754, 794, 840, 900, 942",2023-06-04 18:07:23.275632+00:00
324,11,Lura Ortiz,4,School 4,Section Section 1,"740, 799, 816, 956",2023-06-07 22:52:56.277008+00:00
325,12,Alene Hane,19,School 4,Section Section 3,"226, 285, 332, 457, 570, 626",2023-07-16 20:16:15.278448+00:00
326,11,Wendy Mohr,54,School 4,Section Section 1,"11, 504, 657, 659",2023-06-07 02:48:48.279854+00:00
327,12,Keanu Yost,97,School 4,Section Section 1,"45, 285",2023-07-03 21:22:32.281406+00:00
328,9,Vida Wyman,65,School 4,Section Section 2,"341, 580, 615, 649, 680, 769, 870",2023-06-04 11:46:53.282982+00:00
329,10,Wendy Mohr,7,School 4,Section Section 1,"50, 81, 198, 283, 641, 900",2023-06-18 10:40:09.284380+00:00
330,9,Dovie Jast,98,School 4,Section Section 4,"422, 887, 897, 939",2023-05-28 18:37:54.285773+00:00
331,10,Buck Auer,13,School 4,Section Section 4,"214, 350, 409, 523",2023-07-24 23:37:26.287255+00:00
332,11,Eva Lakin,64,School 4,Section Section 3,"50, 206, 295, 318, 319, 325, 491, 698, 988",2023-05-29 22:00:46.288660+00:00
333,11,Dean Lang,51,School 4,Section Section 3,"167, 239, 252, 378, 419, 506, 733",2023-06-25 21:11:07.290083+00:00
334,12,Janae Mohr,93,School 4,Section Section 2,"161, 292, 403, 480, 491, 621, 624, 671, 711, 713, 911, 994",2023-06-21 06:35:59.291551+00:00
335,12,Wade Ebert,94,School 4,Section Section 4,"41, 247, 593, 637, 670, 801",2023-07-11 14:01:23.292957+00:00
336,9,Vida Wyman,56,School 4,Section Section 1,"108, 198, 509, 805, 911",2023-06-08 06:59:14.294413+00:00
337,12,Tom Lakin,79,School 4,Section Section 2,"17, 43, 86, 232, 260, 275, 356, 576, 689, 743, 992",2023-07-09 01:59:42.295875+00:00
338,10,Avery Batz,95,School 4,Section Section 1,"431, 496, 998",2023-05-26 11:50:55.297324+00:00
339,10,Angie Beer,87,School 4,Section Section 4,"15, 178, 412, 453, 581, 620, 760, 827",2023-07-12 06:49:25.299250+00:00
340,10,Lia Ferry,31,School 4,Section Section 2,"115, 172, 183, 323, 636, 641, 873",2023-06-21 09:55:43.300673+00:00
341,12,Jena Mraz,14,School 4,Section Section 4,"90, 328, 411, 459, 535, 918, 974, 990",2023-05-29 03:45:10.302061+00:00
342,12,Ryley Beer,56,School 4,Section Section 2,"298, 506, 584, 601, 686, 813, 902",2023-06-14 15:45:57.303462+00:00
343,10,Tina Smith,89,School 4,Section Section 3,"228, 269, 535, 548, 628, 833, 909",2023-06-24 03:16:12.304996+00:00
344,10,Wade Ebert,72,School 4,Section Section 2,"7, 243, 539, 641, 775, 958",2023-05-26 12:05:14.306466+00:00
345,10,Devin Mann,11,School 4,Section Section 2,"296, 902, 920",2023-06-07 05:10:46.307917+00:00
346,10,Ottis Torp,14,School 4,Section Section 2,"379, 754, 926",2023-06-29 19:29:29.309466+00:00
347,10,Alene Hane,17,School 4,Section Section 3,"44, 121, 252, 522, 531, 646, 673, 805, 940",2023-07-13 15:20:21.310875+00:00
348,9,Velva Rowe,85,School 4,Section Section 1,"391, 422, 465, 560, 821, 876, 972",2023-06-27 11:03:27.312264+00:00
349,11,Vada Koss,51,School 4,Section Section 4,"134, 257, 312, 483, 590, 832",2023-07-07 16:26:59.314034+00:00
350,11,Eva Lakin,77,School 4,Section Section 1,"33, 122, 331, 848, 993",2023-07-04 00:37:03.315449+00:00
351,10,Fern Moen,19,School 4,Section Section 3,"230, 526, 579, 628, 649, 896",2023-05-26 05:13:45.316913+00:00
352,12,Vidal King,74,School 4,Section Section 3,"146, 496, 718, 792, 898",2023-06-14 10:12:35.318650+00:00
353,10,Rod Carter,67,School 4,Section Section 4,"15, 57, 79, 117, 202, 694, 786, 837, 849, 981",2023-06-02 15:25:15.320256+00:00
354,10,Tina Smith,4,School 4,Section Section 1,"60, 208, 232, 241, 717, 787, 988",2023-07-10 07:22:24.321775+00:00
355,10,Dena Purdy,37,School 4,Section Section 4,"35, 201, 216, 308, 420, 623",2023-07-05 05:19:59.323603+00:00
356,11,Avery Batz,76,School 4,Section Section 1,"274, 294, 316, 337, 793, 859",2023-06-23 21:16:44.325091+00:00
357,12,Cora Mills,66,School 4,Section Section 2,"4, 441, 468, 589, 763, 878",2023-06-17 23:06:05.326575+00:00
358,12,Eva Hammes,97,School 4,Section Section 2,"82, 156, 191, 491, 880",2023-06-26 04:00:00.328061+00:00
359,12,Dale Rohan,52,School 4,Section Section 4,"108, 216, 636, 704, 862, 993",2023-07-10 14:07:51.329610+00:00
360,12,Rod Cremin,63,School 4,Section Section 1,"7, 216, 445, 640, 660, 959",2023-07-09 11:47:57.331024+00:00
361,12,Fleta Batz,69,School 4,Section Section 3,"68, 164, 187, 435, 524, 583, 615, 674, 863",2023-05-30 16:05:36.332602+00:00
362,11,Gabe Stamm,48,School 4,Section Section 4,"115, 416, 779, 844",2023-06-26 10:42:28.334175+00:00
363,12,Vidal King,67,School 4,Section Section 4,"197, 406, 687, 989",2023-06-20 20:06:53.335564+00:00
364,11,Devin Mann,65,School 4,Section Section 3,"159, 260, 718, 729, 755",2023-07-14 01:59:16.336982+00:00
365,12,Sim Parker,67,School 4,Section Section 1,"84, 242, 455, 733, 877, 929",2023-05-31 03:01:36.338483+00:00
366,10,Lia Ferry,98,School 4,Section Section 3,"87, 243, 295, 406, 457, 535, 555, 773, 787, 835",2023-06-03 11:46:36.339870+00:00
367,10,Vidal King,84,School 4,Section Section 2,"78, 404, 411, 424, 452, 535, 821, 851",2023-05-26 04:49:04.341270+00:00
368,9,Avery Batz,39,School 4,Section Section 2,"229, 292, 604",2023-07-03 06:26:40.342657+00:00
369,11,Brad Walsh,32,School 4,Section Section 1,222,2023-07-03 21:17:52.344197+00:00
370,11,Fern Moen,8,School 4,Section Section 4,"786, 948",2023-07-07 16:40:52.345619+00:00
371,10,Tiana Ward,66,School 4,Section Section 3,"151, 385, 505, 724, 920",2023-06-23 01:24:58.347010+00:00
372,11,Zane Runte,65,School 4,Section Section 1,"42, 146, 585, 710, 817, 959",2023-06-25 00:57:19.348503+00:00
373,9,Angie Beer,10,School 4,Section Section 4,"140, 211, 470, 500, 510, 620, 864, 929",2023-06-20 15:45:49.349927+00:00
374,9,Dee Hand,57,School 4,Section Section 1,"194, 303, 317, 396",2023-07-05 16:48:40.351317+00:00
375,9,Velva Rowe,54,School 4,Section Section 4,"28, 185, 439, 557, 829",2023-06-09 05:51:24.352881+00:00
376,12,Ayden Moen,5,School 4,Section Section 4,"45, 160, 488, 502, 631, 642, 958",2023-07-19 16:16:42.354336+00:00
377,12,Erna Huels,79,School 4,Section Section 1,"39, 103, 685, 805, 944, 960",2023-06-17 13:11:09.355711+00:00
378,11,Lelah Wiza,33,School 4,Section Section 2,"160, 333, 591",2023-07-23 08:21:47.357091+00:00
379,11,Kira Walsh,9,School 4,Section Section 2,"204, 251, 346, 511, 528, 622, 867, 896",2023-07-18 05:38:16.358790+00:00
380,12,Mara Crona,4,School 4,Section Section 2,"188, 755, 903, 925",2023-07-19 02:33:06.360135+00:00
381,12,Kylee Wolf,10,School 4,Section Section 1,"401, 461, 475, 716, 968, 988",2023-06-09 04:00:17.361561+00:00
382,12,Mina Feil,0,School 4,Section Section 2,"38, 247, 287, 304, 397, 536, 771",2023-06-07 11:10:05.362995+00:00
383,11,Keanu Yost,75,School 4,Section Section 2,"154, 639, 757, 960",2023-07-17 16:48:32.364385+00:00
384,12,Neva Batz,69,School 4,Section Section 3,"26, 217, 323, 430, 538, 713, 938",2023-06-20 14:22:32.365805+00:00
385,9,Kylee Wolf,86,School 4,Section Section 2,"86, 371, 392, 647, 667, 832, 859, 915",2023-07-20 05:38:48.367214+00:00
386,11,Kale Moen,58,School 4,Section Section 2,"49, 249, 479, 548, 651",2023-06-29 11:37:39.368864+00:00
387,11,Devin Mann,80,School 4,Section Section 2,"593, 701, 751, 895",2023-06-09 22:38:22.370337+00:00
388,10,Eva Lakin,73,School 4,Section Section 3,"157, 192, 631, 796, 814",2023-06-29 03:18:25.371801+00:00
389,12,Niko Bosco,95,School 4,Section Section 1,"48, 254, 675, 759",2023-06-16 09:16:28.373253+00:00
390,9,Nakia Hane,47,School 4,Section Section 2,"142, 174, 635, 636, 675",2023-07-22 14:59:09.374683+00:00
391,9,Ana Metz,88,School 4,Section Section 3,"16, 91, 218, 348, 429, 562, 903",2023-06-12 11:20:21.376081+00:00
392,12,Rene Smith,1,School 4,Section Section 1,"219, 385, 745, 877",2023-07-11 13:55:58.377480+00:00
393,11,Ana Metz,1,School 4,Section Section 4,"411, 497, 600, 838, 948, 976",2023-06-02 13:06:36.378850+00:00
394,9,Angie Beer,19,School 4,Section Section 2,"18, 33, 403, 580, 672, 719, 783",2023-07-01 07:03:53.380333+00:00
395,9,Ted Rogahn,30,School 4,Section Section 2,"217, 308, 493, 731, 922",2023-07-17 19:04:03.381721+00:00
396,10,Lura Ortiz,39,School 4,Section Section 1,"212, 249, 374, 454, 626, 730, 942",2023-07-18 04:52:17.383252+00:00
397,10,Elena Lind,79,School 4,Section Section 3,"101, 382, 398, 592, 643, 809, 849",2023-07-05 05:36:01.384856+00:00
398,9,Nakia Hane,8,School 4,Section Section 3,"52, 151, 279, 290, 397, 582, 781, 851, 887",2023-06-14 11:29:31.386278+00:00
399,12,Kylee Wolf,94,School 4,Section Section 2,"71, 152, 223, 231, 283, 413, 614, 944, 969",2023-06-21 14:17:02.387639+00:00
400,12,Dena Purdy,61,School 4,Section Section 1,"68, 716, 863, 877",2023-06-28 11:56:23.389907+00:00
401,9,Rod Cremin,40,School 5,Section Section 1,"143, 277, 307, 381",2023-06-12 02:14:54.391385+00:00
402,12,Emil Hills,15,School 5,Section Section 1,"68, 489, 617",2023-05-26 22:33:06.392770+00:00
403,12,Jan Little,68,School 5,Section Section 3,"334, 394, 472, 677, 918, 961",2023-07-21 08:08:01.394280+00:00
404,10,Mia Mraz,24,School 5,Section Section 1,"291, 367, 425, 928, 957, 991",2023-07-17 21:18:47.395697+00:00
405,11,Dale Rohan,5,School 5,Section Section 3,"74, 78, 93, 796, 858, 945",2023-05-31 08:56:05.397208+00:00
406,10,Josie Rau,52,School 5,Section Section 3,"363, 366, 518, 569, 691, 780",2023-07-13 22:42:17.398596+00:00
407,9,Aylin Kihn,82,School 5,Section Section 1,"13, 439, 911",2023-07-06 21:28:35.400120+00:00
408,12,Clay Cole,58,School 5,Section Section 3,"116, 145, 198, 427",2023-07-05 15:20:57.401538+00:00
409,9,Vita Price,30,School 5,Section Section 1,"331, 509, 952, 960",2023-07-07 02:29:24.402909+00:00
410,10,Jose Nolan,17,School 5,Section Section 1,"71, 281, 613, 796, 974",2023-06-17 10:16:10.404616+00:00
411,12,Cora Mills,65,School 5,Section Section 3,"4, 174, 341, 367, 393, 515, 637",2023-06-22 19:16:49.406261+00:00
412,12,Fleta Batz,49,School 5,Section Section 4,"39, 268, 339, 648, 709, 802, 925",2023-07-12 04:18:25.407885+00:00
413,9,Ari Feeney,46,School 5,Section Section 3,"38, 113, 233, 269, 399, 562, 585, 749, 803",2023-07-17 04:44:18.409525+00:00
414,11,Vidal King,7,School 5,Section Section 1,"204, 884",2023-07-01 19:56:34.411043+00:00
415,9,Cora Mills,91,School 5,Section Section 2,"219, 240",2023-06-18 06:55:00.412614+00:00
416,9,Sim Parker,63,School 5,Section Section 2,"6, 362, 483, 539, 749, 884",2023-06-16 01:30:21.414357+00:00
417,12,Myra Runte,32,School 5,Section Section 4,"456, 733",2023-07-07 14:50:36.415837+00:00
418,11,Tom Jacobs,90,School 5,Section Section 4,"123, 127, 176, 275",2023-06-23 16:54:07.417257+00:00
419,12,Vince Fay,95,School 5,Section Section 1,"133, 333, 708, 931",2023-06-25 04:43:11.418628+00:00
420,9,Felipa Von,80,School 5,Section Section 1,"48, 56, 121, 246, 355, 477, 582, 685",2023-07-07 04:49:46.420091+00:00
421,12,Rod Cremin,7,School 5,Section Section 4,"256, 477, 954",2023-05-30 15:35:18.421473+00:00
422,12,Bell Walsh,33,School 5,Section Section 4,"224, 330, 348, 727, 814, 826, 852",2023-06-24 11:10:15.422835+00:00
423,9,Ryley Beer,14,School 5,Section Section 2,"210, 622, 779",2023-06-26 10:59:25.424274+00:00
424,11,Jena Mraz,55,School 5,Section Section 3,"67, 93, 367, 749, 761, 802, 856, 964",2023-06-04 15:35:03.425683+00:00
425,10,Neva Batz,0,School 5,Section Section 1,"32, 270, 404, 554, 718, 925",2023-06-13 00:06:42.427031+00:00
426,10,Zane Runte,1,School 5,Section Section 2,"434, 511, 552, 558, 675, 705, 817, 951",2023-05-28 02:51:09.428434+00:00
427,12,Lura Ortiz,22,School 5,Section Section 4,"36, 57, 100, 104, 408, 847, 861",2023-07-22 10:18:46.429966+00:00
428,9,Judy Hills,52,School 5,Section Section 2,"104, 218",2023-07-17 13:05:23.431304+00:00
429,12,Russ Lang,23,School 5,Section Section 1,"318, 391, 725, 729",2023-06-19 06:55:23.432961+00:00
430,9,Franz Huel,57,School 5,Section Section 2,"248, 384, 661, 707, 813, 962, 979",2023-07-03 22:39:59.434548+00:00
431,12,Tom Lakin,65,School 5,Section Section 4,"307, 338, 639, 889",2023-06-02 09:41:39.436065+00:00
432,11,Vada Koss,58,School 5,Section Section 2,536,2023-06-09 13:06:30.437477+00:00
433,12,Guy Ward,74,School 5,Section Section 4,"20, 79, 268, 668, 843, 970",2023-06-05 06:53:04.438856+00:00
434,10,Wade Ebert,4,School 5,Section Section 1,"201, 426, 610",2023-06-09 02:19:31.440239+00:00
435,9,Kody Morar,33,School 5,Section Section 4,"5, 158, 361, 647, 670, 804, 812",2023-06-29 03:22:57.441786+00:00
436,12,Lelah Wiza,25,School 5,Section Section 2,"150, 223, 582, 691, 735, 839, 868, 886, 996",2023-06-10 12:54:25.443260+00:00
437,9,Lola Purdy,82,School 5,Section Section 1,954,2023-06-02 04:55:24.444865+00:00
438,10,Elena Lind,70,School 5,Section Section 4,"166, 190, 283, 577, 662, 796",2023-07-08 20:02:43.446258+00:00
439,12,Mya Rath,3,School 5,Section Section 4,"131, 312, 375, 407, 714, 778, 849, 874, 936",2023-06-24 01:17:19.447680+00:00
440,9,Nakia Hane,67,School 5,Section Section 2,"49, 263, 801, 936, 987",2023-07-21 12:37:14.449056+00:00
441,9,Dixie Beer,85,School 5,Section Section 2,"357, 510, 590, 946, 953, 984",2023-07-07 16:22:43.450416+00:00
442,10,Velva Lind,56,School 5,Section Section 4,"270, 727, 919, 921, 993",2023-06-15 12:14:41.451959+00:00
443,12,Lelah Wiza,29,School 5,Section Section 4,"278, 613, 989",2023-06-12 16:09:51.453341+00:00
444,10,Deja Lemke,27,School 5,Section Section 3,"21, 272, 811, 819, 958, 979",2023-06-11 19:49:44.454702+00:00
